,0,1,2,3,4,5,6,7
0,"Bad hair day? Never. 
 
Take a #TBT look back at some of our squad’s best ‘dos: http://on.nba.com/2wj23F6 pic.twitter.com/fnPjNZd6Yl",nuggets,cavs,"['Bad hair day? Never. \n \nTake a #TBT look back at some of our squad’s best ‘dos: http://on.nba.com/2wj23F6\xa0pic.twitter.com/fnPjNZd6Yl', 'Think you might know this guy.pic.twitter.com/UqytUGbG2B']",2,"['Aug 31 2017', 'Aug 31 2017']","['Cleveland Cavaliers', 'Denver Nuggets']",2
1,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",nuggets,cavs,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg', 'We just did the same thing.. #IsItOctoberYetpic.twitter.com/NZ08P4E3cd']",9,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers', 'Denver Nuggets']",9
2,Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O,nuggets,cavs,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2', 'Nothing like starting off your morning with a bowl of Frosted Blakes! #NBACerealspic.twitter.com/2bHDr58cf8', 'We thought we’d add a little #TBT to our #NBACereals this morning!pic.twitter.com/WQx5PcVvMg', 'You guys have cereals, we have Fruit Hoops. #NBACerealspic.twitter.com/EjkWglCUzf']",7,"['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017']","['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic', 'LA Clippers', 'Dallas Mavericks', 'Denver Nuggets']",7
3,Hello from the Pepsi Center in Denver. #NetsRoadTrippic.twitter.com/GG1RtG76jZ,nuggets,BrooklynNets,"['Hello from the Pepsi Center in Denver. #NetsRoadTrippic.twitter.com/GG1RtG76jZ', '@BrooklynNets ']",2,"['23 Feb 2015', '23 Feb 2015']","['Brooklyn Nets', 'Denver Nuggets']",2
4,"Overtime. 

#Nuggets",nuggets,BrooklynNets,"['Overtime. \n\n#Nuggets', '.@nuggetspic.twitter.com/xFhtYfFa3k', '@BrooklynNets more basketball? More fun!']",3,"['4 Mar 2016', '4 Mar 2016', '4 Mar 2016']","['Denver Nuggets', 'Brooklyn Nets', 'Denver Nuggets']",3
5,"Wait, we JUST got that follow, @PelicansNBA!? pic.twitter.com/cO7wzMwm3l",nuggets,PelicansNBA,"['Wait, we JUST got that follow, @PelicansNBA!? pic.twitter.com/cO7wzMwm3l', '@nuggets - Yeahhh...we were wondering the same thing. Our bad. #NBAlove', '@PelicansNBA that seems like it should be a Twitter technical foul… Thoughts, @NBA?']",3,"['20 Dec 2015', '20 Dec 2015', '20 Dec 2015']","['Denver Nuggets', 'New Orleans Pelicans', 'Denver Nuggets']",3
6,This math checks out. Keep us updated.https://twitter.com/ATP303/status/931731167702913024 …,nuggets,PelicansNBA,"['This math checks out. Keep us updated.https://twitter.com/ATP303/status/931731167702913024\xa0…', 'I took Algebra 1 in 7th grade so it definitely checks out', 'Update?', 'Slightly below projections at 268 points. BUT GOOD NEWS! @PelicansNBA are projected for under 50 points. I think we got this', 'We can live with 268']",5,"['Nov 17 2017', 'Nov 17 2017', 'Nov 17 2017', 'Nov 17 2017', 'Nov 17 2017']","['Denver Nuggets', 'Ace the Prophet', 'Denver Nuggets', 'Ace the Prophet', 'Denver Nuggets']",5
7,"Lookin' to break up the flock.

#MileHighBasketballpic.twitter.com/tryL3uyIpp",nuggets,PelicansNBA,"[""Lookin' to break up the flock.\n\n#MileHighBasketballpic.twitter.com/tryL3uyIpp"", 'Good thing a group of Pelicans is not called a flock pic.twitter.com/lpb9TABk74', 'Google has betrayed us ']",3,"['Nov 17 2017', 'Nov 17 2017', 'Nov 17 2017']","['Denver Nuggets', 'New Orleans Pelicans', 'Denver Nuggets']",3
8,"No photoshop needed.

#NBASuperHeroes (courtesy of Mr. @ryananderson33 aka Batman) http://bit.ly/1nIVsuR  |pic.twitter.com/KFtxkrz7kS",nuggets,PelicansNBA,"['No photoshop needed.\n\n#NBASuperHeroes (courtesy of Mr. @ryananderson33 aka Batman) http://bit.ly/1nIVsuR\xa0 |pic.twitter.com/KFtxkrz7kS', '@PelicansNBA @ryananderson33 awwwwww!']",2,"['30 Jul 2014', '30 Jul 2014']","['New Orleans Pelicans', 'Denver Nuggets']",2
9,House of Guards. #NBADramas @VicOladipo @DevMarble @EvanFourmizz @DetroitWillie34 @elfrid @BenGordon8pic.twitter.com/8mGVS8gv9n,nuggets,OrlandoMagic,"['House of Guards. #NBADramas @VicOladipo @DevMarble @EvanFourmizz @DetroitWillie34 @elfrid @BenGordon8pic.twitter.com/8mGVS8gv9n', '@OrlandoMagic we binge watch that too!']",2,"['17 Sep 2014', '17 Sep 2014']","['Orlando Magic', 'Denver Nuggets']",2
